preferred_category,preferred_type,preferred_genre,content_category,content_type,primary_genre,category_match,type_match,genre_overlap_count,genre_overlap_ratio,view_count,log_views,days_since_publish,freshness_score,label
DOCUMENTARY,DOCUMENTARY,,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,1773.0,7.480992162869525,492,0.45333333333333337,0.7525100230635607
MOVIE,FILM,Comedy,MOVIE,FILM,Action,1.0,1.0,0,0.0,1263.0,7.142036574706803,328,0.6355555555555555,0.7307868674950739
MOVIE,FILM,Sci-Fi,,FILM,Comedy,0.0,1.0,0,0.0,4815.0,8.479698986988657,33,0.9633333333333334,0.40286938348904544
SERIES,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,4593.0,8.432506383249043,848,0.05777777777777782,0.1364616652780054
MOVIE,FILM,Action,MOVIE,FILM,Sci-Fi,1.0,1.0,1,0.5,4794.0,8.475328987317539,326,0.6377777777777778,0.8417894453604199
SERIES,SERIES,,SERIES,SERIES,Drama,1.0,1.0,2,1.0,202.0,5.313205979041787,312,0.6533333333333333,0.939969641012517
DOCUMENTARY,DOCUMENTARY,History,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,4757.0,8.467582690862903,649,0.27888888888888885,0.035070552565303975
MOVIE,FILM,Comedy,SERIES,SERIES,Action,1.0,1.0,0,0.0,4092.0,8.317033476492403,474,0.4733333333333334,0.7657605960880872
MOVIE,FILM,Sci-Fi,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,,,547,0.39222222222222225,
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,787.0,6.669498089857879,113,0.8744444444444445,0.7711681186838091
,FILM,,MOVIE,FILM,Action,1.0,1.0,2,1.0,,5.981414211254481,812,0.09777777777777774,0.868736329004635
SERIES,SERIES,Drama,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,4763.0,8.46884293047519,408,0.5466666666666666,0.1179565483088081
DOCUMENTARY,DOCUMENTARY,History,MOVIE,FILM,Drama,0.0,0.0,0,0.0,3719.0,8.221478947267192,263,0.7077777777777778,0.12650647649501348
MOVIE,FILM,,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,3256.0,8.088561805276234,296,0.6711111111111111,0.7363366434162383
MOVIE,FILM,Sci-Fi,SERIES,SERIES,Drama,0.0,0.0,0,0.0,2683.0,7.895063498091573,91,0.8988888888888888,0.16246801800283142
SERIES,SERIES,Drama,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,4243.0,8.353261499733874,669,0.2566666666666667,0.7018534076179891
MOVIE,FILM,Action,SERIES,SERIES,Action,0.0,0.0,2,1.0,2525.0,7.8343923029104365,480,0.4666666666666667,0.34368661510206533
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,1711.0,7.445417556701687,324,0.64,0.11619793319761824
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,1308.0,7.1770187659099,253,0.7188888888888889,0.734010492310774
MOVIE,FILM,Comedy,,FILM,Action,0.0,1.0,0,0.0,3518.0,8.165932137321585,133,0.8522222222222222,0.348006920052226
MOVIE,FILM,Sci-Fi,,FILM,Comedy,1.0,1.0,0,0.0,1840.0,7.518064181233078,438,0.5133333333333333,0.7072555842389082
,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,1224.0,7.110696122978827,628,0.30222222222222217,0.16513955733665434
MOVIE,FILM,Action,MOVIE,FILM,Sci-Fi,1.0,1.0,1,0.5,1394.0,7.240649694255466,713,0.20777777777777773,0.7545632143563793
SERIES,SERIES,Drama,SERIES,SERIES,Drama,1.0,1.0,2,1.0,3464.0,8.150467911624004,489,0.45666666666666667,0.9923454670751315
DOCUMENTARY,DOCUMENTARY,History,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,1346.0,7.205635176410364,709,0.2122222222222222,0.10511712767728384
MOVIE,FILM,Comedy,SERIES,SERIES,Action,1.0,1.0,0,0.0,429.0,6.063785208687608,32,0.9644444444444444,0.7841712189363689
MOVIE,FILM,Sci-Fi,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,1174.0,7.069023426578259,274,0.6955555555555555,0.8486298399571353
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,3369.0,8.122668023346407,43,0.9522222222222222,0.7918417226212305
,FILM,Action,MOVIE,FILM,Action,1.0,1.0,2,1.0,963.0,6.871091294610546,266,0.7044444444444444,0.9613442233941017
SERIES,SERIES,Drama,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,,8.49596955496461,175,0.8055555555555556,0.12439933855122053
,DOCUMENTARY,,MOVIE,FILM,Drama,0.0,0.0,0,0.0,3238.0,8.08301991917133,307,0.6588888888888889,0.0690092807491242
MOVIE,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,843.0,6.738152494595957,102,0.8866666666666667,0.7505237502220584
MOVIE,FILM,Sci-Fi,SERIES,SERIES,Drama,0.0,0.0,0,0.0,4442.0,8.399085102935908,573,0.3633333333333333,0.07547417831022545
SERIES,SERIES,Drama,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,259.0,5.560681631015528,887,0.014444444444444482,0.6070790215217019
MOVIE,FILM,Action,SERIES,SERIES,Action,0.0,0.0,2,1.0,1690.0,7.43307534889858,796,0.11555555555555552,0.28305553264060684
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,1475.0,7.297091005160418,457,0.4922222222222222,0.07926185088500871
DOCUMENTARY,DOCUMENTARY,,,DOCUMENTARY,Science,0.0,1.0,0,0.0,4196.0,8.34212526333359,746,0.1711111111111111,0.38811405839193297
MOVIE,FILM,Comedy,MOVIE,FILM,Action,1.0,1.0,0,0.0,,,332,0.6311111111111112,
MOVIE,FILM,Sci-Fi,MOVIE,FILM,Comedy,1.0,1.0,0,0.0,3051.0,8.023552392404348,606,0.32666666666666666,0.6886702626945411
SERIES,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,477.0,6.169610732491456,189,0.79,0.23388411143843899
MOVIE,FILM,Action,,FILM,Sci-Fi,1.0,1.0,1,0.5,388.0,5.963579343618446,492,0.45333333333333337,0.8131645017592081
SERIES,SERIES,Drama,SERIES,SERIES,Drama,1.0,1.0,2,1.0,2732.0,7.913155185928068,684,0.24,0.9130821590602585
DOCUMENTARY,DOCUMENTARY,History,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,2429.0,7.795646536334594,700,0.2222222222222222,0.024396724239838477
MOVIE,FILM,Comedy,SERIES,SERIES,Action,1.0,1.0,0,0.0,2918.0,7.978996370854115,452,0.49777777777777776,0.7007084275422549
MOVIE,FILM,Sci-Fi,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,3860.0,8.258681496264236,719,0.20111111111111113,0.7744334145060435
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,2020.0,7.611347717403621,408,0.5466666666666666,0.6709854125763218
MOVIE,FILM,Action,MOVIE,FILM,Action,1.0,1.0,2,1.0,,7.708410667257367,812,0.09777777777777774,0.9193740351797922
SERIES,SERIES,Drama,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,3607.0,8.190908881182514,283,0.6855555555555555,0.11669753482547489
DOCUMENTARY,DOCUMENTARY,History,MOVIE,FILM,Drama,0.0,0.0,0,0.0,3236.0,8.082402253926244,272,0.6977777777777778,0.05209834023196319
,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,989.0,6.897704943128636,439,0.5122222222222222,0.6981981495112737
MOVIE,FILM,Sci-Fi,SERIES,SERIES,Drama,0.0,0.0,0,0.0,2737.0,7.914983005848394,32,0.9644444444444444,0.16149318826965725
SERIES,SERIES,Drama,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,568.0,6.343880434126331,753,0.16333333333333333,0.6963050696518956
MOVIE,FILM,Action,SERIES,SERIES,Action,0.0,0.0,2,1.0,3991.0,8.292047637431354,49,0.9455555555555556,0.40218420589736315
SERIES,SERIES,Drama,,DOCUMENTARY,History,0.0,0.0,0,0.0,2963.0,7.994294986415977,860,0.0444444444444444,0.0411420405911148
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,2886.0,7.967973179662935,870,0.033333333333333326,0.6333951876260941
MOVIE,FILM,Comedy,,FILM,Action,1.0,1.0,0,0.0,4258.0,8.356789669923213,694,0.22888888888888892,0.6475192114900281
MOVIE,FILM,Sci-Fi,MOVIE,FILM,Comedy,1.0,1.0,0,0.0,1933.0,7.56734567601324,380,0.5777777777777777,0.7217485723692364
SERIES,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,761.0,6.635946555686647,365,0.5944444444444444,0.22031594127845108
MOVIE,FILM,Action,MOVIE,FILM,Sci-Fi,1.0,1.0,1,0.5,,7.802209316247118,791,0.12111111111111106,0.8254075303092503
SERIES,SERIES,,SERIES,SERIES,Drama,1.0,1.0,0,0.0,4533.0,8.419359831067474,581,0.35444444444444445,0.7258632109816735
,DOCUMENTARY,History,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,4610.0,8.436200032206706,748,0.16888888888888887,0.05041625155831686
,FILM,Comedy,SERIES,SERIES,Action,1.0,1.0,0,0.0,3075.0,8.031385330625534,157,0.8255555555555556,0.7009244251036209
MOVIE,FILM,Sci-Fi,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,3267.0,8.091933455979893,332,0.6311111111111112,0.8295020618940282
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,,7.99598047476376,362,0.5977777777777777,0.7218324046210438
,FILM,Action,MOVIE,FILM,Action,1.0,1.0,2,1.0,4583.0,8.430327258394575,472,0.4755555555555555,0.938961179342294
SERIES,SERIES,Drama,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,4084.0,8.315077007294104,557,0.38111111111111107,0.05773018567897746
DOCUMENTARY,DOCUMENTARY,History,MOVIE,FILM,Drama,0.0,0.0,0,0.0,,,124,0.8622222222222222,
MOVIE,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,3299.0,8.101677747454572,154,0.8288888888888889,0.7237776133019244
MOVIE,FILM,Sci-Fi,SERIES,SERIES,Drama,0.0,0.0,0,0.0,3969.0,8.286521373681236,834,0.07333333333333336,0.025320334704599833
SERIES,SERIES,Drama,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,1351.0,7.20934025660291,450,0.5,0.7113850972806718
MOVIE,FILM,Action,,SERIES,Action,0.0,0.0,2,1.0,3505.0,8.16223106548118,782,0.13111111111111107,0.27732791622048464
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,4214.0,8.346404870435956,309,0.6566666666666667,0.11008493109351038
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,2285.0,7.734558844354756,312,0.6533333333333333,0.7279052711049182
MOVIE,FILM,Comedy,MOVIE,FILM,Action,1.0,1.0,0,0.0,1099.0,7.003065458786462,723,0.19666666666666666,0.6366085320063039
MOVIE,FILM,Sci-Fi,MOVIE,FILM,Comedy,1.0,1.0,0,0.0,1219.0,7.106606137727303,175,0.8055555555555556,0.7177032380072702
SERIES,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,1007.0,6.915723448631314,219,0.7566666666666666,0.26953652352474416
MOVIE,FILM,Action,MOVIE,FILM,Sci-Fi,1.0,1.0,1,0.5,3247.0,8.085794701281568,590,0.34444444444444444,0.7755189244014451
SERIES,SERIES,Drama,SERIES,SERIES,Drama,1.0,1.0,2,1.0,2968.0,7.99598047476376,816,0.09333333333333338,0.8413713908631676
DOCUMENTARY,DOCUMENTARY,History,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,2342.0,7.759187438507795,134,0.8511111111111112,0.06374103401831488
MOVIE,FILM,,SERIES,SERIES,Action,1.0,1.0,0,0.0,314.0,5.752572638825633,768,0.1466666666666666,0.6611069545698586
MOVIE,FILM,,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,564.0,6.336825731146441,822,0.08666666666666667,0.7777578549238542
,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,,7.6290038896529575,751,0.16555555555555557,0.6669339138468152
MOVIE,FILM,,MOVIE,FILM,Action,1.0,1.0,0,0.0,4962.0,8.50976567558744,582,0.3533333333333334,0.7295802089815772
SERIES,SERIES,Drama,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,4822.0,8.481151420068972,74,0.9177777777777778,0.049286751096107334
DOCUMENTARY,DOCUMENTARY,History,MOVIE,FILM,Drama,0.0,0.0,0,0.0,473.0,6.161207321695077,790,0.12222222222222223,0.05148338210712505
MOVIE,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,2143.0,7.670428522190693,220,0.7555555555555555,0.7764894950416216
MOVIE,FILM,Sci-Fi,SERIES,SERIES,Drama,0.0,0.0,0,0.0,4986.0,8.514589805546123,427,0.5255555555555556,0.05656475396678691
SERIES,SERIES,Drama,,SERIES,Comedy,0.0,1.0,0,0.0,4091.0,8.316789127071518,760,0.15555555555555556,0.3211248674332877
MOVIE,FILM,,SERIES,SERIES,Action,0.0,0.0,2,1.0,2952.0,7.990576881743923,668,0.2577777777777778,0.27870469529089215
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,1623.0,7.392647520721623,203,0.7744444444444445,0.0834702742653258
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,1204.0,7.094234845924755,713,0.20777777777777773,0.6625198502756412
MOVIE,FILM,Comedy,MOVIE,FILM,Action,1.0,1.0,0,0.0,1510.0,7.32052696227274,825,0.08333333333333337,0.7036935672317474
MOVIE,FILM,Sci-Fi,MOVIE,FILM,Comedy,1.0,1.0,0,0.0,312.0,5.746203190540153,519,0.42333333333333334,0.7429936144448042
SERIES,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,3254.0,8.08794755464267,79,0.9122222222222223,0.23709047904720745
MOVIE,FILM,Action,MOVIE,FILM,Sci-Fi,1.0,1.0,1,0.5,2902.0,7.97349996402463,759,0.15666666666666662,0.848256250706488
SERIES,SERIES,Drama,SERIES,SERIES,Drama,1.0,1.0,2,1.0,,,748,0.16888888888888887,
DOCUMENTARY,DOCUMENTARY,,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,902.0,6.805722553416985,669,0.2566666666666667,0.10852505326066347
MOVIE,FILM,Comedy,SERIES,SERIES,Action,1.0,1.0,0,0.0,1908.0,7.554334823725748,823,0.0855555555555556,0.659331417504732
MOVIE,FILM,Sci-Fi,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,920.0,6.825460036255307,810,0.09999999999999998,0.7842671127202969
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,2275.0,7.730174795246222,576,0.36,0.7013205666026017
MOVIE,FILM,Action,MOVIE,FILM,Action,1.0,1.0,2,1.0,,7.792348924113037,493,0.4522222222222222,1.0
SERIES,SERIES,Drama,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,1938.0,7.569927655242652,140,0.8444444444444444,0.14362713460197768
DOCUMENTARY,DOCUMENTARY,History,,FILM,Drama,0.0,0.0,0,0.0,3637.0,8.199189359078067,869,0.0344444444444445,0.01866735014180307
MOVIE,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,2859.0,7.958576903813898,753,0.16333333333333333,0.7007747223474486
MOVIE,FILM,Sci-Fi,,SERIES,Drama,0.0,0.0,0,0.0,3100.0,8.03947991910045,138,0.8466666666666667,0.10954271241680508
SERIES,SERIES,,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,4377.0,8.384347278082808,0,1.0,0.7425712601933319
MOVIE,FILM,Action,SERIES,SERIES,Action,0.0,0.0,2,1.0,2432.0,7.796880342783522,481,0.4655555555555555,0.34846639787580125
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,1695.0,7.4360278163518485,768,0.1466666666666666,0.04864824681692057
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,4522.0,8.416930769477844,230,0.7444444444444445,0.740210303077478
MOVIE,FILM,Comedy,MOVIE,FILM,Action,1.0,1.0,0,0.0,716.0,6.57507584059962,736,0.18222222222222217,0.6678643381697349
MOVIE,FILM,Sci-Fi,,FILM,Comedy,1.0,1.0,0,0.0,2683.0,7.895063498091573,89,0.9011111111111111,0.7552977760119035
SERIES,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,4406.0,8.390949464841986,652,0.27555555555555555,0.19759764121127107
MOVIE,FILM,Action,MOVIE,FILM,Sci-Fi,1.0,1.0,1,0.5,494.0,6.20455776256869,477,0.47,0.7564668042969207
,SERIES,Drama,SERIES,SERIES,Drama,1.0,1.0,2,1.0,3058.0,8.025843344150903,564,0.3733333333333333,0.9530009282545123
DOCUMENTARY,DOCUMENTARY,History,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,184.0,5.220355825078324,162,0.8200000000000001,0.07574099884988356
MOVIE,FILM,,SERIES,SERIES,Action,1.0,1.0,0,0.0,1870.0,7.534228326274089,19,0.9788888888888889,0.7081053740499915
MOVIE,FILM,Sci-Fi,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,771.0,6.648984550024776,136,0.8488888888888889,0.852687594017683
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,1879.0,7.539027055823995,376,0.5822222222222222,0.7142484392364292
MOVIE,FILM,Action,MOVIE,FILM,Action,1.0,1.0,2,1.0,2725.0,7.9105906122564775,163,0.8188888888888889,0.9562418844506383
SERIES,SERIES,Drama,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,,8.22040309993373,867,0.036666666666666625,0.06513274728530026
DOCUMENTARY,DOCUMENTARY,History,MOVIE,FILM,Drama,0.0,0.0,0,0.0,3447.0,8.145549631783584,767,0.14777777777777779,0.010714965594577616
MOVIE,FILM,Comedy,,FILM,Sci-Fi,0.0,1.0,0,0.0,4698.0,8.455104999102815,705,0.21666666666666667,0.32703659864394685
MOVIE,FILM,Sci-Fi,,SERIES,Drama,0.0,0.0,0,0.0,4177.0,8.33758794211651,619,0.3122222222222222,0.05073194458363892
SERIES,SERIES,,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,497.0,6.210600077024653,425,0.5277777777777778,0.6989828266765963
MOVIE,FILM,Action,SERIES,SERIES,Action,0.0,0.0,2,1.0,,,108,0.88,
,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,2169.0,7.682482446534506,146,0.8377777777777777,0.0876853557181137
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,4929.0,8.503094267036737,750,0.16666666666666663,0.6961866770660723
MOVIE,FILM,Comedy,MOVIE,FILM,Action,1.0,1.0,0,0.0,1624.0,7.393263094763838,89,0.9011111111111111,0.7448601292489916
MOVIE,FILM,,MOVIE,FILM,Comedy,1.0,1.0,0,0.0,2860.0,7.95892649305011,896,0.004444444444444473,0.5990590634808655
SERIES,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,4180.0,8.338305731356565,366,0.5933333333333333,0.15763472670522935
MOVIE,FILM,Action,MOVIE,FILM,Sci-Fi,1.0,1.0,1,0.5,,8.341648618901306,761,0.1544444444444445,0.7921488595183488
SERIES,SERIES,Drama,SERIES,SERIES,Drama,1.0,1.0,2,1.0,,8.395477432732141,856,0.04888888888888887,0.8955731023896635
DOCUMENTARY,DOCUMENTARY,,,SERIES,Comedy,0.0,0.0,0,0.0,4915.0,8.500250470685925,773,0.14111111111111108,0.048787398684698446
MOVIE,FILM,Comedy,SERIES,SERIES,Action,1.0,1.0,0,0.0,4253.0,8.355614995760183,487,0.4588888888888889,0.7021854818408054
MOVIE,FILM,Sci-Fi,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,252.0,5.53338948872752,461,0.48777777777777775,0.8201374151352057
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,362.0,5.8944028342648505,706,0.2155555555555555,0.6961823897810706
MOVIE,FILM,Action,MOVIE,FILM,Action,1.0,1.0,2,1.0,,7.832014180505469,56,0.9377777777777778,0.9552535826636087
SERIES,SERIES,Drama,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,,7.537430036586509,209,0.7677777777777778,0.07511831904224953
DOCUMENTARY,DOCUMENTARY,History,,FILM,Drama,0.0,0.0,0,0.0,276.0,5.6240175061873385,850,0.05555555555555558,0.0
MOVIE,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,,5.707110264748875,818,0.09111111111111114,0.6631435456361674
MOVIE,FILM,Sci-Fi,SERIES,SERIES,Drama,0.0,0.0,0,0.0,,5.099866427824199,386,0.5711111111111111,0.11712560548305648
SERIES,SERIES,Drama,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,4427.0,8.395703293828527,722,0.19777777777777783,0.6641518314920527
MOVIE,FILM,,SERIES,SERIES,Action,0.0,0.0,2,1.0,2151.0,7.674152921281675,814,0.0955555555555555,0.20861190654757333
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,4449.0,8.400659375160286,284,0.6844444444444444,0.05466092245573446
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,3476.0,8.153925132007862,705,0.21666666666666667,0.6529152322361548
MOVIE,FILM,Comedy,MOVIE,FILM,Action,1.0,1.0,0,0.0,4820.0,8.480736654405622,783,0.13,0.6539602962836131
MOVIE,FILM,Sci-Fi,MOVIE,FILM,Comedy,1.0,1.0,0,0.0,4448.0,8.400434630806041,889,0.012222222222222245,0.6463058284303852
SERIES,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,3794.0,8.24143968982973,788,0.12444444444444447,0.17023049897755965
MOVIE,FILM,Action,MOVIE,FILM,Sci-Fi,1.0,1.0,1,0.5,3738.0,8.226573474977114,720,0.19999999999999996,0.7872101588530027
SERIES,SERIES,Drama,SERIES,SERIES,Drama,1.0,1.0,2,1.0,932.0,6.838405200847344,696,0.22666666666666668,0.9445397669867348
DOCUMENTARY,DOCUMENTARY,History,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,,7.579167967396076,186,0.7933333333333333,0.09273800512909706
MOVIE,FILM,,SERIES,SERIES,Action,1.0,1.0,0,0.0,3931.0,8.276903481267057,766,0.14888888888888885,0.6458055877991429
MOVIE,FILM,Sci-Fi,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,,8.475537516147405,798,0.11333333333333329,0.8033686551162691
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,,,583,0.3522222222222222,
MOVIE,FILM,Action,MOVIE,FILM,Action,1.0,1.0,2,1.0,2570.0,7.852050207265889,748,0.16888888888888887,0.9234776409696708
SERIES,SERIES,Drama,,FILM,Comedy,0.0,0.0,0,0.0,3003.0,8.007700012884026,763,0.15222222222222226,0.053888595569050346
DOCUMENTARY,DOCUMENTARY,History,MOVIE,FILM,Drama,0.0,0.0,0,0.0,4153.0,8.331827004436057,704,0.21777777777777774,0.054384845322170784
MOVIE,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,626.0,6.440946540632921,768,0.1466666666666666,0.7109413789506243
MOVIE,FILM,Sci-Fi,SERIES,SERIES,Drama,0.0,0.0,0,0.0,4539.0,8.420682291035394,466,0.4822222222222222,0.06698125349020466
SERIES,SERIES,Drama,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,4768.0,8.469891918298224,582,0.3533333333333334,0.7547862425303812
MOVIE,FILM,Action,SERIES,SERIES,Action,0.0,0.0,2,1.0,1827.0,7.510977752014095,358,0.6022222222222222,0.3268414020876641
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,2163.0,7.679713639966372,115,0.8722222222222222,0.08304378949518816
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,4700.0,8.45553053102413,1,0.9988888888888889,0.7595666120121743
MOVIE,FILM,Comedy,MOVIE,FILM,Action,1.0,1.0,0,0.0,83.0,4.430816798843313,199,0.7788888888888889,0.6852940519852962
MOVIE,FILM,Sci-Fi,MOVIE,FILM,Comedy,1.0,1.0,0,0.0,1320.0,7.186144304522325,861,0.043333333333333335,0.6337190770301387
SERIES,SERIES,Drama,,FILM,Drama,0.0,0.0,1,0.5,1424.0,7.261927092702751,414,0.54,0.21818623052358807
MOVIE,FILM,Action,,FILM,Sci-Fi,1.0,1.0,1,0.5,1307.0,7.176254532017144,237,0.7366666666666667,0.8622285939129133
SERIES,SERIES,Drama,SERIES,SERIES,Drama,1.0,1.0,2,1.0,1911.0,7.555905093611346,139,0.8455555555555556,0.9594723249639784
DOCUMENTARY,DOCUMENTARY,History,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,1554.0,7.349230824613334,133,0.8522222222222222,0.14750762468300685
MOVIE,FILM,Comedy,SERIES,SERIES,Action,1.0,1.0,0,0.0,1823.0,7.508787170634276,740,0.1777777777777778,0.7058753979434531
MOVIE,FILM,Sci-Fi,,DOCUMENTARY,History,1.0,1.0,1,0.5,3243.0,8.084562415235304,464,0.48444444444444446,0.8674648856535002
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,,7.826842098158293,393,0.5633333333333334,0.7270017004278087
MOVIE,FILM,,,FILM,Action,0.0,1.0,2,1.0,962.0,6.870053411798126,651,0.2766666666666666,0.6191030987483404
SERIES,SERIES,Drama,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,2734.0,7.913886714856082,487,0.4588888888888889,0.02463776589347199
DOCUMENTARY,DOCUMENTARY,,,FILM,Drama,0.0,0.0,0,0.0,2022.0,7.612336837167746,861,0.043333333333333335,0.02862874503966944
MOVIE,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,177.0,5.181783550292085,200,0.7777777777777778,0.6947977692004843
MOVIE,FILM,Sci-Fi,SERIES,SERIES,Drama,0.0,0.0,0,0.0,2496.0,7.822845290279774,644,0.2844444444444445,0.06678942156839854
SERIES,SERIES,Drama,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,,8.125039097367745,17,0.9811111111111112,0.7370789194123991
MOVIE,FILM,Action,SERIES,SERIES,Action,0.0,0.0,2,1.0,1135.0,7.035268599281097,577,0.3588888888888889,0.3021720140716463
SERIES,SERIES,,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,4605.0,8.43511508038063,203,0.7744444444444445,0.17139909120781316
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,4132.0,8.326758814511733,546,0.3933333333333333,0.6912495563941076
